File,Axis,Resonance_Frequency_Hz,Threshold_Value,Threshold_Method,Threshold_Ranges,Sample_Rate,FFT_Size,Filter_Applied,Filter_Order,Max_Energy_Band,Max_Energy_Value,Energy_30-35Hz,Energy_35-45Hz,Energy_45-55Hz,Energy_55-60Hz
mpu_raw_optimized_driving_1_20251204_113252,Accel_Z,36.08,22.3334,std,31.77-31.77Hz; 32.40-32.40Hz; 33.25-33.25Hz; 33.96-34.10Hz; 34.31-34.31Hz; 34.46-34.46Hz; 34.60-34.74Hz; 35.02-35.16Hz; 35.30-35.30Hz; 35.45-35.66Hz; 35.80-36.30Hz; 36.44-36.58Hz; 36.79-36.93Hz; 37.22-37.43Hz; 37.57-37.78Hz; 37.92-37.92Hz; 38.06-38.28Hz; 38.42-38.56Hz; 38.77-38.77Hz; 38.91-38.91Hz; 39.05-39.13Hz; 39.48-39.55Hz; 39.69-39.69Hz; 40.40-40.40Hz; 40.68-40.75Hz; 41.18-41.25Hz; 41.46-41.60Hz; 42.03-42.10Hz; 42.59-42.59Hz; 43.44-43.44Hz; 43.58-43.58Hz; 43.80-43.80Hz; 44.22-44.22Hz; 44.57-44.57Hz; 46.06-46.06Hz; 70.26-70.26Hz; 90.42-90.42Hz; 120.84-120.84Hz,579.59,8192,True,5,35-45Hz,368602.8387,47607.3323,368602.8387,31603.2859,10545.774
mpu_raw_optimized_driving_2_20251204_112835,Accel_Z,35.57,23.5886,std,0.00-0.00Hz; 2.21-2.21Hz; 32.47-32.47Hz; 33.02-33.02Hz; 33.85-33.85Hz; 33.98-33.98Hz; 34.19-34.26Hz; 34.40-34.81Hz; 34.95-35.09Hz; 35.23-35.43Hz; 35.57-35.85Hz; 35.98-36.12Hz; 36.47-36.54Hz; 36.81-36.81Hz; 36.95-37.09Hz; 37.22-37.29Hz; 37.71-37.84Hz; 38.05-38.12Hz; 38.40-38.40Hz; 38.53-38.53Hz; 38.67-38.81Hz; 39.29-39.29Hz; 39.57-39.57Hz; 39.71-39.71Hz; 39.84-39.84Hz; 39.98-39.98Hz; 40.33-40.33Hz; 40.53-40.53Hz; 40.74-40.74Hz; 40.95-40.95Hz; 41.15-41.15Hz; 41.36-41.36Hz; 41.50-41.50Hz; 42.46-42.46Hz; 42.60-42.60Hz; 42.81-42.81Hz; 44.19-44.19Hz; 79.00-79.00Hz; 86.79-86.93Hz; 87.06-87.06Hz; 87.20-87.20Hz; 115.81-115.81Hz; 122.98-122.98Hz; 123.19-123.19Hz; 125.53-125.53Hz; 134.97-134.97Hz,564.71,8192,True,5,35-45Hz,237281.5756,80545.9772,237281.5756,22571.3015,8763.3005
mpu_raw_optimized_driving_3_20251204_113940,Accel_Z,37.25,26.2391,std,29.98-29.98Hz; 30.62-30.62Hz; 31.82-31.82Hz; 32.52-32.52Hz; 32.66-32.66Hz; 32.88-32.88Hz; 33.58-33.58Hz; 33.79-33.79Hz; 34.00-34.00Hz; 34.36-34.57Hz; 34.85-34.85Hz; 34.99-34.99Hz; 35.13-35.13Hz; 35.42-35.49Hz; 35.77-36.33Hz; 36.47-36.47Hz; 36.61-36.76Hz; 36.90-36.90Hz; 37.04-37.04Hz; 37.25-37.39Hz; 37.53-37.53Hz; 37.74-37.95Hz; 38.10-38.17Hz; 38.31-38.38Hz; 38.52-38.59Hz; 38.73-38.73Hz; 38.87-39.01Hz; 39.22-39.22Hz; 39.37-39.37Hz; 39.65-39.72Hz; 40.07-40.07Hz; 40.21-40.28Hz; 40.42-40.42Hz; 40.85-40.99Hz; 41.13-41.20Hz; 41.34-41.34Hz; 41.48-41.48Hz; 41.76-41.76Hz; 41.91-41.91Hz; 42.12-42.19Hz; 42.68-42.68Hz; 42.82-42.82Hz; 43.03-43.10Hz; 43.32-43.39Hz; 44.52-44.52Hz; 44.80-44.80Hz; 45.43-45.43Hz; 70.55-70.55Hz; 126.70-126.70Hz; 127.20-127.20Hz,577.93,8192,True,5,35-45Hz,304656.2597,58744.7135,304656.2597,29468.1422,13693.6635
mpu_raw_optimized_driving_4_20251204_114255,Accel_Z,37.18,20.3273,std,2.26-2.26Hz; 4.51-4.51Hz; 31.96-31.96Hz; 32.38-32.38Hz; 33.15-33.15Hz; 34.35-34.35Hz; 34.92-35.41Hz; 35.55-36.05Hz; 36.19-36.19Hz; 36.33-36.47Hz; 36.61-36.82Hz; 36.96-37.53Hz; 37.67-37.88Hz; 38.02-38.23Hz; 38.38-38.80Hz; 39.01-39.08Hz; 39.36-39.43Hz; 39.57-39.72Hz; 39.86-39.93Hz; 40.07-40.28Hz; 40.91-40.99Hz; 41.20-41.48Hz; 41.69-41.69Hz; 41.83-41.90Hz; 42.11-42.25Hz; 42.47-42.47Hz; 42.89-42.89Hz; 43.03-43.03Hz; 43.38-43.38Hz; 43.52-43.52Hz; 43.67-43.67Hz; 43.81-43.81Hz; 44.44-44.44Hz; 70.61-70.68Hz; 82.68-82.68Hz; 90.86-90.86Hz; 126.98-126.98Hz,577.88,8192,True,5,35-45Hz,326661.045,36222.7704,326661.045,25440.706,8885.5983
mpu_raw_optimized_driving_5_20251204_114632,Accel_Z,37.27,21.4829,std,31.05-31.05Hz; 31.83-31.83Hz; 32.46-32.46Hz; 32.89-32.89Hz; 33.31-33.31Hz; 33.45-33.45Hz; 34.94-34.94Hz; 35.15-35.22Hz; 35.43-35.93Hz; 36.07-36.63Hz; 36.78-37.06Hz; 37.27-37.27Hz; 37.55-37.55Hz; 37.70-37.77Hz; 37.91-38.05Hz; 38.19-38.19Hz; 38.33-38.33Hz; 38.47-38.47Hz; 38.61-38.76Hz; 38.90-39.25Hz; 39.53-39.60Hz; 40.10-40.10Hz; 40.24-40.24Hz; 40.38-40.38Hz; 40.74-40.74Hz; 41.30-41.30Hz; 41.58-41.58Hz; 41.80-41.80Hz; 41.94-41.94Hz; 42.08-42.08Hz; 42.22-42.29Hz; 42.43-42.43Hz; 42.72-42.79Hz; 43.14-43.14Hz; 43.99-44.13Hz; 44.34-44.34Hz; 45.40-45.40Hz; 46.75-46.75Hz; 48.73-48.73Hz; 126.38-126.38Hz,579.36,8192,True,5,35-45Hz,477307.5103,47008.3939,477307.5103,53021.5833,14145.1283
mpu_raw_optimized_lidar_1_20251204_121254,Accel_Z,61.36,8.6847,std,10.17-10.24Hz; 20.48-20.48Hz; 40.88-40.88Hz; 50.98-51.26Hz; 55.92-56.06Hz; 56.49-56.56Hz; 60.72-60.87Hz; 61.29-61.50Hz; 61.64-61.64Hz; 66.23-66.23Hz; 71.60-71.60Hz; 81.27-81.27Hz; 81.77-81.91Hz; 86.64-86.64Hz; 91.93-92.15Hz; 96.88-96.88Hz; 97.44-97.44Hz; 107.11-107.11Hz; 107.68-107.68Hz; 117.35-117.35Hz,578.43,8192,True,5,45-55Hz,21515.5857,565.0276,2242.027,21515.5857,7302.9942
mpu_raw_optimized_lidar_2_20251204_121632,Accel_Z,61.47,11.7814,std,10.17-10.32Hz; 20.42-20.56Hz; 41.05-41.05Hz; 51.01-51.09Hz; 51.23-51.58Hz; 55.89-56.10Hz; 56.74-56.74Hz; 56.88-56.95Hz; 60.69-60.69Hz; 60.84-60.84Hz; 61.26-61.82Hz; 61.97-61.97Hz; 66.35-66.35Hz; 71.65-71.72Hz; 71.86-71.93Hz; 81.82-82.03Hz; 82.17-82.24Hz; 86.91-86.91Hz; 92.00-92.14Hz; 92.28-92.28Hz; 92.42-92.49Hz; 92.63-92.63Hz; 92.77-92.77Hz,578.82,8192,True,5,45-55Hz,20373.5553,822.8287,1990.8801,20373.5553,7645.3575
mpu_raw_optimized_lidar_3_20251204_121933,Accel_Z,50.87,12.16,std,10.02-10.23Hz; 20.39-20.39Hz; 50.73-51.08Hz; 55.36-55.50Hz; 56.48-56.48Hz; 59.98-60.12Hz; 60.68-61.10Hz; 61.24-61.31Hz; 65.59-65.59Hz; 66.64-66.64Hz; 71.05-71.05Hz; 71.26-71.26Hz; 76.73-76.73Hz; 81.28-81.49Hz; 85.91-85.91Hz; 86.05-86.05Hz; 90.60-90.60Hz; 91.44-91.65Hz; 97.12-97.12Hz; 107.35-107.35Hz,574.02,8192,True,5,45-55Hz,24042.9238,895.3846,1757.5048,24042.9238,6366.7031
mpu_raw_optimized_lidar_4_20251204_122232,Accel_Z,61.87,11.8426,std,10.31-10.31Hz; 20.62-20.62Hz; 41.25-41.25Hz; 45.84-45.84Hz; 51.42-51.77Hz; 51.91-51.91Hz; 56.01-56.15Hz; 56.29-56.29Hz; 57.21-57.28Hz; 60.60-60.60Hz; 60.74-60.74Hz; 60.88-60.88Hz; 61.59-62.22Hz; 62.36-62.36Hz; 72.04-72.25Hz; 77.83-77.83Hz; 82.35-82.71Hz; 87.08-87.08Hz; 91.68-91.68Hz; 92.66-92.88Hz; 93.02-93.02Hz; 98.46-98.46Hz; 108.77-108.77Hz,578.58,8192,True,5,45-55Hz,22564.6611,719.4532,1859.6896,22564.6611,6033.3626
mpu_raw_optimized_lidar_5_20251204_122532,Accel_Z,61.97,9.4566,std,10.23-10.38Hz; 20.68-20.68Hz; 41.29-41.29Hz; 51.45-51.74Hz; 51.88-51.88Hz; 55.97-55.97Hz; 56.18-56.18Hz; 57.45-57.45Hz; 60.70-60.70Hz; 61.76-61.76Hz; 61.90-62.04Hz; 62.18-62.18Hz; 66.49-66.49Hz; 72.13-72.35Hz; 76.79-76.86Hz; 78.06-78.13Hz; 82.44-82.44Hz; 82.58-82.65Hz; 87.17-87.17Hz; 91.68-91.68Hz; 92.74-92.74Hz; 92.95-93.03Hz; 97.47-97.47Hz; 98.74-98.74Hz; 109.12-109.12Hz; 118.15-118.15Hz,578.2,8192,True,5,45-55Hz,24761.6377,757.6371,1892.5696,24761.6377,6013.5089
