window_idx,peak_freq_original,power_before_40Hz,power_before_50Hz,power_before_60Hz,label_before,max_power_before,SVM_mapped_freq,SVM_power_40Hz,SVM_power_50Hz,SVM_power_60Hz,SVM_max_power,SVM_improvement,RF_mapped_freq,RF_power_40Hz,RF_power_50Hz,RF_power_60Hz,RF_max_power,RF_improvement,KNN_mapped_freq,KNN_power_40Hz,KNN_power_50Hz,KNN_power_60Hz,KNN_max_power,KNN_improvement,XGB_mapped_freq,XGB_power_40Hz,XGB_power_50Hz,XGB_power_60Hz,XGB_max_power,XGB_improvement,file_name
0,36.22466614231373,3775424.480575683,271488.4973173445,74211.88887467381,40,3775424.480575683,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,mpu_raw_optimized_driving_1_20251204_113252.csv
1,37.63969216349786,8438963.00990503,392676.8200864745,98532.50664052829,40,8438963.00990503,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,16693778.218813308,60,1204112.0107607578,3758311.4575868044,37699111.84307751,37699111.84307751,29260148.83317248,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,16693778.218813308,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,16693778.218813308,mpu_raw_optimized_driving_1_20251204_113252.csv
2,38.205702571971514,11882036.014344765,457173.82561272965,110384.5373437415,40,11882036.014344765,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,13250705.214373572,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,13250705.214373572,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,13250705.214373572,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,13250705.214373572,mpu_raw_optimized_driving_1_20251204_113252.csv
3,37.922697367734685,10014005.093644489,423547.82229769323,104287.62121145503,40,10014005.093644489,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,15118736.135073848,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,15118736.135073848,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,15118736.135073848,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,15118736.135073848,mpu_raw_optimized_driving_1_20251204_113252.csv
4,36.50767134655056,4394895.503561853,291959.89801877376,78539.7593739115,40,4394895.503561853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,mpu_raw_optimized_driving_1_20251204_113252.csv
5,35.9416609380769,3258434.593498482,252575.68903270582,70121.37563476853,40,3258434.593498482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,mpu_raw_optimized_driving_1_20251204_113252.csv
6,35.9416609380769,3258434.593498482,252575.68903270582,70121.37563476853,40,3258434.593498482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21874306.635219853,mpu_raw_optimized_driving_1_20251204_113252.csv
7,36.22466614231373,3775424.480575683,271488.4973173445,74211.88887467381,40,3775424.480575683,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,60,1204112.0107607578,3758311.4575868044,37699111.84307751,37699111.84307751,33923687.36250183,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,21357316.748142652,mpu_raw_optimized_driving_1_20251204_113252.csv
8,36.50767134655056,4394895.503561853,291959.89801877376,78539.7593739115,40,4394895.503561853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,60,1204112.0107607578,3758311.4575868044,37699111.84307751,37699111.84307751,33304216.339515656,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,mpu_raw_optimized_driving_1_20251204_113252.csv
9,36.50767134655056,4394895.503561853,291959.89801877376,78539.7593739115,40,4394895.503561853,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,40,25132741.228718337,756939.0299472815,158566.19071746597,25132741.228718337,20737845.725156482,mpu_raw_optimized_driving_1_20251204_113252.csv
