SNR_dB,Model,Mean_Power_uW,Median_Power_uW,Std_Dev_uW,Min_Power_uW,Max_Power_uW,Absolute_Improvement_uW,Percentage_Improvement
-10,Pre-Mapping,253682227.30686018,234667413.95398355,211030159.26445606,14529660.63187629,517554648.4847693,0.0,0.0
-10,RF,342645879.8719936,258867667.3619218,210460058.12300524,138341550.5356717,723168605.6245826,88963652.56513342,35.06893388219933
-10,SVM,335548875.65044594,258867667.3619218,206688176.2263745,138341550.5356717,723168605.6245826,81866648.34358576,32.271337733312265
-10,kNN,342261802.2641482,258867667.3619218,211975089.0893469,138341550.5356717,729074883.0266069,88579574.957288,34.917532811685696
-10,XGBoost,338529455.0110896,258867667.3619218,208668655.7016736,138341550.5356717,723168605.6245826,84847227.70422944,33.44626409385636
-5,Pre-Mapping,253682227.30686018,234667413.95398355,211030159.26445606,14529660.63187629,517554648.4847693,0.0,0.0
-5,RF,344189775.83210814,258867667.3619218,211837848.6047504,138341550.5356717,723168605.6245826,90507548.52524796,35.67752833381104
-5,SVM,333990745.95394915,258867667.3619218,204665504.10498106,138341550.5356717,723168605.6245826,80308518.64708897,31.657132428889405
-5,kNN,342014472.5456544,258867667.3619218,211659008.836336,138341550.5356717,729074883.0266069,88332245.23879424,34.8200369322465
-5,XGBoost,336596547.8295743,258867667.3619218,205913432.2736096,138341550.5356717,723168605.6245826,82914320.52271411,32.684323771100814
0,Pre-Mapping,253682227.30686018,234667413.95398355,211030159.26445606,14529660.63187629,517554648.4847693,0.0,0.0
0,RF,342017725.55323994,258867667.3619218,209497013.58698195,138341550.5356717,723168605.6245826,88335498.24637976,34.821319248165935
0,SVM,335079924.38271976,258867667.3619218,206281718.272873,138341550.5356717,723168605.6245826,81397697.07585958,32.08647997930062
0,kNN,342014472.5456544,258867667.3619218,211659008.836336,138341550.5356717,729074883.0266069,88332245.23879424,34.8200369322465
0,XGBoost,338156557.56853896,258867667.3619218,207816066.86377704,138341550.5356717,723168605.6245826,84474330.26167879,33.29927017689599
5,Pre-Mapping,253682227.30686018,234667413.95398355,211030159.26445606,14529660.63187629,517554648.4847693,0.0,0.0
5,RF,342176094.98791647,258867667.3619218,210075193.71960992,138341550.5356717,723168605.6245826,88493867.68105629,34.88374752166298
5,SVM,334832594.66422594,258867667.3619218,205948275.87790874,138341550.5356717,723168605.6245826,81150367.35736576,31.9889840998614
5,kNN,342261802.2641482,258867667.3619218,211975089.0893469,138341550.5356717,729074883.0266069,88579574.957288,34.917532811685696
5,XGBoost,339385019.5398671,258867667.3619218,208799643.01639462,138341550.5356717,723168605.6245826,85702792.23300692,33.78352245754242
10,Pre-Mapping,253682227.30686018,234667413.95398355,211030159.26445606,14529660.63187629,517554648.4847693,0.0,0.0
10,RF,343149300.08304155,258867667.3619218,210901979.9189752,138341550.5356717,723168605.6245826,89467072.77618137,35.267379085236364
10,SVM,336116278.70369697,258867667.3619218,208203776.9033285,138341550.5356717,723168605.6245826,82434051.39683679,32.49500458584454
10,kNN,342261802.2641482,258867667.3619218,211975089.0893469,138341550.5356717,729074883.0266069,88579574.957288,34.917532811685696
10,XGBoost,337257032.594732,258867667.3619218,206242366.1099199,138341550.5356717,723168605.6245826,83574805.28787181,32.94468287160602
